編號,類別,時間,標題,內容
1401,鴻海新聞,4/28/2016 14:05,摩台指殺低結算 台股收盤跌破季線,美國聯準會維持利率不變，但日本央行BOJ未擴大寬鬆，維持負利率不變，卻造成日圓飆升、日股急瀉3%，衝擊亞股走勢，台股今日逢摩台指結算，外資也殺低結算，台股開小高走低，盤中一度重挫逾百點，一度下探8456點，8581點年線與8487點季線雙雙跌破，終場加權指數收在8473.87點，下跌89.18點，跌幅1.04%，日成交量略放大至746.51億元。 外資期指多單略減，摩台指結算日外資買盤再度縮手，520新政府就職演說壓力下，台股量能未能有效放大，權值股今日依舊走勢溫吞，台積電（2330）大跌逾2%，鴻海（2317）也跌逾1%，股王大立光（3008）守住平盤。半導體龍頭聯電（2308）更大跌逾4%。電信股法說會下午登場，但是中華電信（2412）亦跌逾0.9%，法說會效應亦失靈。盤面仍以中小型個股表現，櫻花（9911）董事會決議減資20%並配息1.3元，股東每股拿回3.3元；股價跳空鎖漲停。運動觀望股F-百和（8404） 國內外法人買進今再度上漲。美時（1795）受到立委質疑2年前以私募方式與艾威群集團策略聯盟，疑遭禿鷹集團併購恐涉炒股，早盤下殺逾5%，60元關卡岌岌可危。台新金（2887）就彰銀經營權之爭審判結果不如預期，今日盤中一度重挫逾3%。日本央行BOJ會議今天中午宣布維持利率維持在-0.1%不變，未擴大寬鬆政策，放市場解讀「放棄治療」，日圓聞訊急飆2%，升破110元大關，日經225指數也出現90度轉折，下午開盤急瀉逾400點，上下震盪逾700點，幅度4%，亞股也受拖累，港股滬股都出現跳水式走勢，港股漲幅全吐回，韓股跌逾0.7%，滬股跌逾0.6%。證監會排查證券機構非法集資風險，全面清理場外配資，加上媒炭股回跌，上證綜合指數截至中午為止下跌0.68%，報2933.64點；深圳成指下跌0.97%，報10075.57點；創業板下跌0.8%，報2129.41點。下午盤開盤後陸股再跌逾1%。
1402,鴻海新聞,4/28/2016 1:39,夏普活動／員工挺夏普 捧場買電器,鴻海集團力挺夏普，鴻海員工自動發起購買夏普產品活動，五天總體銷售金額破百萬，熱門產品是「蚊取空清」、車用空氣清淨等。由鴻海員工主動發起的挺夏普活動陸續在台灣虎躍廠、頂埔廠和民生廠舉辦，昨日移師頂埔廠擴大召開。鴻海副總裁戴正吳昨日攜手夏普第三號人物、專務取締役兼消費電子事業社長長谷川祥典現身現場，為活動集氣。
1403,鴻海新聞,4/28/2016 1:39,夏普活動／面板布局 與群創深化交流,鴻海集團投資夏普後，在面板、機器人兩大領域有新布局與動態，鴻海副總裁戴正吳昨（27）日表示，在面板方面夏普、群創兩家公司將各自獨立但深化交流；機器人方面鴻海將與夏普一同擴大機器人及具備機器學習能力的消費電子市場布局。戴正吳表示，面板方面夏普、群創仍是獨立的兩家公司，畢竟群創的大股東是郭董事長，夏普的大股東則是鴻海，雙方交流會透過程序進行，不會混為一談。至於機器人方面，戴正吳表示，不僅在動態、靜態的聲音辨識、智能對話、物聯網等技術，都是機器人技術範疇，鴻海正與夏普討論如何將機器人技術知識，應用在消費電子產品，幫助夏普的下一步朝智能和物聯網的趨勢發展。夏普日前推出小型化人型機器人新手機RoBoHoN以及既有掃地機器人，鴻海也會與軟銀合作Pepper機器人。戴正吳也指出，日本正在積極布局 物聯網和生產改革第四代，德國布局工業化4.0，中國大陸衝刺中國製造2025，這些也是鴻海和夏普共同努力布局的方向。
1404,鴻海新聞,4/28/2016 1:42,夏普新社長 鴻海5月拍板,鴻海投資夏普後，各界關注夏普社長等高層人事布局。對此，鴻海副總裁戴正吳昨（27）日透露，鴻海預計5月將提出新人事案，一定是提「對夏普有幫助的人選」。戴正吳昨日意外現身鴻海集團內部員工的挺夏普活動，加上攜手夏普第三號人物、專務取締役兼消費電子事業社長長谷川祥典出席，成為各方鏡頭捕捉的焦點。夏普預計將在5月12日會議決定6月23日董事會細節，屆時將由夏普方面對外宣布新社長與新高層人事布局。戴正吳強調，鴻海必須是在全部的細節與交易底定後才能有發言權，由夏普方面宣布人事結果，符合國際規範。戴正吳昨日會議滿檔仍抽空與長谷川祥典一同現身活動現場，現場展示夏普水波爐烹飪的美食飄出陣陣的香氣，也讓還沒吃午餐的戴正吳忍不住大快朵頤、連稱美味。戴正吳也說，今年股東會也可在現場提供由夏普家電烹煮的美食，致力將夏普的好傳遞給每個股東。活動後，戴正吳與長谷川祥典一起離開現場，由戴正吳透露「有許多會議行程」、「夏普是獨立公司、鴻海投資與其商業合作都會按照流程簽約」等談話研判，雙方已啟動後續深化合作的相關布局。另一方面，在鴻海集團內部員工發起挺夏普活動中，戴正吳昨也拋出力挺夏普的三個新想法。戴正吳預告，5月2日將借用中國大陸深圳龍華廠區，展示夏普全系列新產品。其次，龍華廠區也將舉辦擴大銷售會議，討論在東南亞、印度、中國大陸、香港以及台灣等銷售狀況，要讓消費者買到品質高、價格便宜的夏普產品。第三，戴正吳指出，未來富士康在中國大陸18個省區的30多個廠區，也將設夏普產品的旗艦店，力挺夏普與服務富士康員工，並提升夏普在中國大陸市場的銷售力道。
1405,鴻海新聞,4/28/2016 1:58,獲利不及預期 夏普擬再裁千人,"日經新聞報導，在鴻海正式完成收購夏普前，夏普考慮再裁員約1,000人，主要是因為獲利表現遠不如預期，削減成本的壓力大增。報導指出，受影響的部門可能集中在業績表現不佳的單位或工廠，包括太陽能設備與儲存電池部門都可能有人丟掉飯碗。"
1406,鴻海新聞,4/29/2016 13:20,金融股擁高股息 穩坐大盤之上,台股今天重挫百點，台積電、鴻海聯袂走跌，不過金融股在高股息撐腰下，發揮穩盤作用，表現相對抗跌，龍頭國泰金控、富邦金控更是穩在盤上。國泰金昨天公布今年股利政策，每股配發現金股息2元，與去年相當，以今天平盤價36.25元計算，現金股息殖利率達5.5%，富邦金雖然股利比去年縮水，但現金股息殖利率也超過5%，吸引長線資金進駐。盤面上表現最佳的台新金控則是在擺脫認列彰化銀行一次性投資損失後，今年發出每股1.20669213元的股利，比起去年每股象徵性地發0.1元，成長幅度最大，也讓股價今天上漲近3%，在金融股中最強。分析師表示，金融類股指數近期表現優於大盤，台股今天在跌破8400點後，已創3月以來新低，相對金融股仍撐在4月11日低點918點之上，且今天跌幅不到0.1%，相對強勢。
1407,鴻海新聞,4/28/2016 9:11,蘋概股止跌 靠這兩派,蘋果財報公布後，台系蘋果供應鏈股價反而擺脫積弱態勢，外資分析師說，台股蘋概股若要拚利空出盡，業績派、跌深派二大蘋概族群，不可或缺。就股價表現來看，營運表現令人驚艷的蘋概股則以穩懋、群聯為代表，穩懋除去年獲利亮眼，最新出爐第1季財報更繳出單季每股純益1.41元歷史新高成績；群聯繼去年獲利改寫新猷後，今年再受惠iPhone 7內建儲存容量提升想像商機，股價均持續於高檔徘徊。此外，蘋果供應鏈利空不跌指標股可分為先前修正已深、營運表現令人驚艷二大族群。前者以大立光、可成、鴻海、和碩為代表，像是大立光與可成自3月前波高點以來，股價都已下挫逾二成，修正幅度是否逼近滿足，關乎蘋概士氣。
1408,鴻海新聞,4/28/2016 9:36,夏普考慮各種提升獲利選項 未決定裁員,"夏普發言人植村豐土接受彭博電話求證時表示，夏普（Sharp）考慮提升獲利的各種選項，並未具體決定裁員。日經新聞今天報導，在鴻海正式完成收購夏普前，夏普考慮再裁員約1,000人，主要是因為獲利表現遠不如預期，削減成本的壓力大增。報導指出，受影響的部門可能集中在業績表現不佳的單位或工廠，包括太陽能設備與儲存電池部門都可能有人丟掉飯碗。"
1409,鴻海新聞,4/28/2016 14:54,鴻海眼球霸業IHS：等待整軍,EMS→ODM鴻海（2317）集團的液晶電視代工規模如何成為巨無霸？IHS專家建議，鴻海要由EMS要進入ODM，需要美學、設計、背光設計等助力，可強化與群創、SHARP的資源整合，創造價值，增加客戶群。市調機構IHS Technology研究總監楊靜萍表示，鴻海旗下富士康的液晶電視以EMS模式為主，最大客戶為SONY，其次為VIZIO，去年代工出貨量約900多萬台，尚未達到千萬台的規模。她說，鴻海集團今後要進入ODM領域，首要在背光製造能力，這可透過旗下群創的協助；並善用併購的SHARP，在設計、美學及技術進一步提升，以更佳化的菜單，提供更多的客戶選擇，並且創造價值。IHS Technology統計，2015年富士康的液晶電視代工出貨總量中，SONY占比達62%最高，VIZIO則為11%。
1410,鴻海新聞,4/28/2016 19:07,鴻海Q1專利申請大減 友達躍居龍頭,過去一向居發明專利申請龍頭的鴻海，去年第4季遭台積電逆轉，退居第6，經濟部智慧財產局統計，鴻海今年第1季申請量僅48件，大減8成，排第4，友達以74件奪冠，史上最佳。智慧局今天公布105年第1季智慧財產權趨勢，3種專利新申請案共1萬6649件，年減3.32%，連續12季衰退，其中發明專利、新型專利、設計專利衰退2.08%、7.07%、0.39%。智慧局統計，發明專利部分，本國人3505件，年減11.65%：外國人6801件，年增率3.71%。外國人中以日本3375件最高，其次依序為美國1645件、南韓416件、德國313件、中國大陸264件。值得注意的是，本國法人部分，儘管鴻海發明專利申請量年度排名自2004年至2015年之間都維持第一，但季排名於去年第4季遭台積電以330件逆轉奪冠，鴻海以83件，退居第6名，排名為101年有季統計以來最差。今年第1季本國法人發明專利申請排名也持續大洗牌，友達光電以74件奪冠，成長近3成，排名為有季統計以來最佳。工研院、宏碁各以53件、50件排名第2、3，鴻海申請量僅48件，為有季統計以來最差，減幅高達83%。經濟部官員表示，近年來鴻海專利布局策略調整，改朝重質不重量與重視專利貨幣化，發明專利年申請量自2011年開始衰退，2014年、2015年減幅擴大至60.8%、44.9%。觀察大專院校發明專利申請情況，智慧局發現，申請量僅剩310件，件數不到 102年第4季的一半，首季衰退23.46%，年增率由正轉負，大專院校當中，以清華大學27件申請案最多，其次依序為成功大學18件，交通大學及勤益科大皆為16件。外國法人部分，今年第1季發明專利申請前5大分別為英特爾151件、高通 150件、東芝122件、半導體能源研究所105件、惠普90件。至於專利公告發證趨勢，智慧局統計，今年首季公告發證案共1萬9093件，成長0.37%，其中發明專利共1萬2553件，成長4.36%，外國人中以日本3221件最高，其次為美國2168件、南韓479件、中國大陸307件、德國280件。智慧局表示，本國法人發明專利公告發證前5大分別為工研院192件、友達光電176件、台積電169件、緯創資通167件、聯華電子100件。另外，相較於專利申請量下跌，今年第1季商標申請案1萬8033件，增加3.76%；外國人中以中國大陸1110件最多，其次依序為美國966件、日本879件、香港361件、南韓317件。
1411,鴻海新聞,4/28/2016 23:09,陽程Q1賺1.22元 較去年同期轉盈,自動化設備廠陽程（3498）今天公布，董事會通過今年首季財報、單季稅後純益約1.11億元，季減約1%，首季每股稅後純益（EPS）為1.22元，較去年第4季每股稅後純益1.41元下滑，但為連續四季賺錢且較去年首季每股虧損0.22元轉盈。陽程董事會通過擬向臺灣土地銀行為統籌主辦銀行的銀行團申請融資額度、擬對孫公司陽程(佛山)科技有限公司增資等案。另一方面，陽程先前公布依國際會計準則第39號，在去年度財報認列金融資產減損1.2億元。至於鴻海則是在去年11月6日公告，集團投資5.6億元認購陽程私募、持股15.2%。
1412,鴻海新聞,4/30/2016 12:41,郭台銘口中的IGZO跟OLED 一次看懂,讓外界備受矚目的鴻夏戀落幕後，鴻海董事長郭台銘喊出的OLED（ Organic Light-Emitting Diode，縮寫：OLED）及IGZO（氧化銦鎵鋅Indium Gallium Zinc Oxide）兩個技術，成為前陣子被討論的最火熱議題之一，但面板專業分析師認為，這兩個技術並非壁壘分明，而是相互合作的關係，希望外界別再搞混。目前面板技術分成兩大陣營，分別是LCD跟OLED，而IGZO屬於LCD（Liquid-Crystal Display液晶顯示器）技術領域，是LCD發展過程中衍生出來的新製程方法；IGZO跟OLED的差異性，主要是針對製程而言，是有可能同時存在的，兩者並不衝突，IGZO技術可提高面板解析度同時又能降低成本。 IGZO是TFT（薄膜電晶體Thin-Film Transistor）背板技術，和a-Si和LTPS低溫多晶矽（Low Temperature Poly-silicon；簡稱LTPS）一樣都是用以驅動面板，都能驅動LCD面板或OLED面板，因此發展IGZO及OLED並不會互相排斥，兩者也並非外界想像的兩個不同技術陣營。台經院副研究員曾俊洲表示，IGZO是一種薄膜電晶體技術，在TFT-LCD主動層之上，打上一層金屬氧化物。IGZO與非晶矽相比，IGZO能夠縮小電晶體尺寸，可提高液晶面板畫素的開口率，較易實現高精細化，解析度高出一倍，電子遷移率快十倍，將簡單的外部電路整合至面板之中，能使移動裝置更輕薄，耗電量也降至三分之二。夏普擁有的IGZO技術，是郭台銘看上的夏普關鍵實力之一，IGZO可提高面板解析度同時又降低成本，且夏普早已具有量產能力。至於OLED面板的特性，則具有自發光性、廣視角、高對比、低耗電、高反應速率、全彩化及製程簡單等優點，色彩亮度、飽和度也好，OLED可分單色、多彩及全彩等種類，而其中以全彩製作技術最為困難，有機發光二極體顯示器依驅動方式的不同又可分為被動式（Passive Matrix，PMOLED）與主動式AMOLED。而OLED技術韓國廠商已經發展多年，在中小尺寸部分，南韓廠商三星顯示器（Samsung Display）幾乎稱霸目前市場，業內人士坦言，三星目前根本沒有對手。而OLED近來備受討論原因，是在於蘋果未來推出的iPhone顯示器可能使用OLED面板，蘋果選擇競爭對手作為顯示器供應商，引起外界想像空間，才使得OLED面板技術再度被外界重視。
1413,鴻海新聞,4/30/2016 12:43,OLED、IGZO話題熱 但台廠吃不到單,"在鴻海合併夏普的議題發酵下，IGZO技術再次成為焦點，鴻海也評估放大IGZO技術與規模的可能性，但若以OLED跟IGZO相關技術來看，但相較於日本及韓國，目前台灣廠商著墨並不深。OLED面板是近期討論話題之一，據傳南韓三星，將成為爭取成為蘋果未來iPhone獨家OLED面板的供應商。WitsView研究部資深協理邱宇彬指出，蘋果選擇和勁敵三星合作，是因為中小尺寸的OLED面板，就屬三星布局最久；且三星從第一代高階的Galaxy系列手機時，就已開始採用自家面板，因此在技術跟良率上，三星幾乎已經沒有對手，早已是中小尺寸OLED面板的一方之霸。邱宇彬表示，再加上三星在去年推出 Galaxy S6 edge，採用彎曲、可撓式的主動有機發光二極體（AMOLED）與內嵌觸控面板，就是三星在宣示自家公司，在OLED面板上的技術發展，又再度往前邁進一大步，跟其他競爭者距離已越拉越開。因彎曲、可撓式面板未來可讓手機外觀設計逐步改進，也能幫助蘋果未來在新款iPhone上更具話題性，逼使蘋果不得低頭，選擇跟敵人三星攜手，才讓三星能在OLED面板供應鏈上，初步獨家勝出。而至於IGZO技術部分，WitsView研究報告指出，蘋果在2011至2012年間，率先採用IGZO技術於平板電腦面板，市場上便掀起一陣波瀾，但受限於專利取得、技術與良率改善不易等問題，加上各應用產品市場價格競爭漸趨激烈，壓縮IGZO技術的生存空間。但2016年在蘋果iPad Pro 9.7吋新產品的推波助瀾下，IGZO平板面板出貨將上看2,000萬片，爆炸性年成長296%；iPad系列產品無疑是IGZO技術在平板市場普及的最佳推手。邱宇彬表示，夏普擁有的IGZO技術獨步全球，是最早實現量產化的供應；WitsView預估，2016年夏普約占全球IGZO產能面積的33%，但隨著蘋果擴大產品線，韓廠樂金顯示器與三星顯示器也陸續投資生產IGZO面板，合計的產能面積全球占比將來到28%，逐漸形成三強鼎立的態勢。而相較於韓廠和日廠的切入，台灣廠商在這塊技術上，的確是缺席的，原因在於台灣廠商長期缺乏蘋果訂單的挹注，因此在IGZO投資的腳步上，才趨於保守。"
1414,鴻海新聞,4/28/2016 20:57,520前陸資觀望？投審會：還看不出來,經濟部投審會今天核准10件僑外投資案件及對中國大陸投資案，但未見陸資案件，外界關切 520前陸資是否轉趨觀望，投審會表示，還需持續觀察1、2個月，目前還看不出來。投審會今天通過 5件僑外投資案，總投資 8531萬9738美元，以英屬開曼群島商PHOENIX＆CORPORATION申請匯入新台幣10億918萬元金額最大，將買下恆勁科技股份有限公司股份，從事晶片尺寸覆晶載板(FCCSP)產銷業務。另5件為上市（櫃）公司對中國大陸投資案，總投資額1億7729萬餘美元。其中，南茂科技股份有限公司申請匯出4200萬美元，增資英屬維京群島CHIPMOS TECHNOLOGIES (BVI)LTD.暨間接增資大陸地區宏茂微電子(上海)有限公司，從事半導體、積體電路器材的封裝、測試加工服務等業務。值得注意的是，今天並未有陸資投資案提報委員會議審查，是否意味著 520前陸資來台腳步暫緩，引發外界關切。經濟部官員解釋，主要是因為還沒有成熟的陸資案可提報投審會委員會議審查，且今天仍有數件陸資投資案持續向投審會遞件，因此還需觀察1、2個月，目前還看不出來陸資有減少的跡象。另外，有關美光擬收購台塑集團旗下DRAM廠華亞科、鴻海投資夏普案，目前都已送至投審會，並展開審查，官員表示，依據目前進度，最快可排入5月底委員會議審查。
1415,鴻海新聞,4/29/2016 2:31,友達專利申請稱冠 鴻海減少,"經濟部智慧局昨（28）日公布第1季專利申請統計，發明專利申請10,306件，年減2.1%，是連續三季負成長。鴻海也因力行專利貨幣化政策，發明專利申請減少，專利申請冠軍寶座讓給友達，落居第四。 智慧局官員解釋，本國法人發明專利申請持續衰退，主因鴻海專利布局策略轉變為追求專利價值，重視專利將來使用的機會及拍賣價格等。鴻海執行此政策已二年，比較基期逐漸降低，因此衰退幅度也從過去「二位數」收斂成微幅減少。統計顯示，第1季發明專利申請較去年同期減少462件，鴻海就減少234件，占整體減少比重約五成。鴻海已連續二季將發明專利申請冠軍寶座拱手讓人；去年第4季鴻海發明專利申請量83件，落居第六，該季冠軍為台積電的330件。鴻海專利策略轉變，第1季在本國法人發明專利申請量排名落居第四；前三名依序為友達、工研院、宏碁。台積電則是排名第八，官員解釋，台積電應是研發到一定程度後，才會統一申請專利，只要排名還在十名內，都不算專利申請減少。值得注意的是，友達近來單季專利申請量維持約70件；群創發明專利申請量也擠進本國法人前十名。官員解釋，專利申請攸關日後若發生專利侵權攻防戰，儘管面板業不景氣，但產業還是要有武器，業者並未減少研發經費，只是專利申請更精準有效，但不致大量減少 。專利申請共為發明、新型、設計等三種，含金量最高是發明專利，第1季三種專利申請量共16,649件，年減3.3%，衰退幅度略大於發明專利。官員解釋，一旦發生專利攻防戰，發明專利比新型專利強度更好。"
1416,鴻海新聞,4/29/2016 9:16,美 3大指數回挫 台股早盤跌破8400,美國股市28日尾盤明顯走低，道瓊工業指數收盤跌210點，主要因蘋果公司股價下跌逾3%，拖累台股早盤指數下跌75點，來到8398點位置，跌破8400點整數關卡。美國那斯達克指數收盤下跌57.85點或1.19%，收在4805.29點；標準普爾500指數下跌19.34點，或0.92%，收在2075.81點。全球半導體股指標的費城半導體指數，收跌18.57點，跌幅達2.73%，來到662.69點。儘管美股回檔走低，但油價卻持續上揚，儘管沒有重大利多消息激勵，北海布倫特原油期貨價格仍創下今年新高價48.14美元，倫敦北海布倫特原油6月期貨價格上漲96美分，收在每桶48.14美元，是去年11月以來的最高價位。由於蘋果股價回檔，台股早盤主要由科技股下跌拖累，包括台積電跌 3元來到150元，聯發科跌 4元為232元，鴻海跌 1元為77.6元、和碩跌 1元為67元等。
1417,鴻海新聞,4/29/2016 12:49,李世光：原則是基本電價不漲,準經濟部長李世光表示，他與鴻海董事長郭台銘、台積電董事長張忠謀等人都熟悉，昨日也拜會3個工商團體。他澄清，新政府不是反商，若企業普遍有此疑慮，「這次選票不會長這樣。」李世光上午接受電台專訪，主持人周玉蔻詢問，企業大老普遍與國民黨關係融洽，對民進黨較為陌生，並舉郭台銘、張忠謀、工總理事長許勝雄、東元集團會長黃茂雄、廣達董事長林百里等人。李世光則回答，「你剛講的的這些人我都熟悉。」他表示，已拜會工商團體，現在企業除了擔心缺水、缺電、缺工、缺地、缺人才「五缺」，還加上缺資源、缺資金、缺輔導，變成「八缺」，會努力建立企業界對政府的信賴，而不光只是用說的。對於美豬與跨太平洋夥伴協定（TPP）議題，李世光未正面回應，僅說問題很複雜，要在跨部會平台上討論，民眾的疑慮、包括為了國民健康而選擇不加入TPP，都是可以討論的議題。李世光表示，電業法修正案將於明年1月提出，把發電、輸配電、售電分離，至於電價，原則是基本電價不漲，用電愈多付費愈高，並會推出時間電價。不過他也說，「現在說多少年不漲電價不切實際。」
1418,鴻海新聞,4/29/2016 13:43,台股跌近百點破8400 周線連二黑,台股今日收周線，受到歐美與亞股指數紛紛回檔，主計總處盤前又公布台灣第1季GDP年比衰退0.84%，較之前預估下修，今日台股開低走低，盤中跌逾百點失守8400點，甚至最低一度逼近半年線8350點位置，終場加權指數收8377.9點，下跌95.97點，跌幅1.13%，成交量762億元，距離上周五收盤8535.75點，周線下跌157.85點，周線已連二黑。台股今日開盤以下跌49.83點開出，報8424.04點。因美國蘋果昨天在美股續重挫，電子權值股賣壓沈重，最大權值股台積電（2330）大跌逾3元，跌破150元大關，跌幅近2%，蘋果概念股指標鴻海（2317）也跌逾1.5%，F-TPK （3673）跌逾2.75%，股王大立光（3008）跌0.6%，其餘非蘋陣營也同樣拉回整理，包括聯發科（2454）跌近2.5%，宏達電（2498）也跌逾4%，封裝測試股今日殺聲陣天，矽品（2325）季報不理想，一度大跌逾6%後收斂一半、日月光（2311）跟進也跌逾5%。晶電（2448）開盤亦暴跌逾8%，旺宏（2337）傳改列全額交割股，今日急殺跌停，電子股今為台股主要賣壓來源。金融股方面，受惠股利陸續公布，台新金（2887）、國泰金（2882）股利發放相對大方，今日雙雙逆勢大漲，台新金更反彈近3%，成為盤面焦點股，並領軍金融股撐盤，跌幅相較輕，扮演撐盤要角。另外，生技股今日美時（1795）腦癌藥獲認證，今日亮燈漲停，但原本強勢的電動車供應鏈和大（1536）與F-貿聯（3665）首度走弱，分別重跌7%與9%引市場側目。美國公布第1季GDP成長0.5%，創2014年第一季以來最慢速度。美國四大指數齊跌，其中道瓊工業跌逾210.79點或1.17%至17830.76點，費城半導體指數更重跌2.73%至662.69點衝擊我國半導體股走勢。那斯達克與S&P 500指數都跌近1%，日股今日休市，港股重挫逾1.3%，韓股開盤跌破2000點，中午跌逾0.4%，滬股也跌0.3%。
1419,鴻海新聞,4/29/2016 13:55,台股開低走低 跌95.97點,台北股市今天開低走低，收盤跌95.97點，為8377.9點，跌幅1.13%，成交金額新台幣762.26億元。加權指數今天開盤為8424.04點，盤中最高8424.04點，最低8352.23點；不含金融股指數7114.77點，跌95.56點。八大類股漲跌幅為：泥窯股跌0.69%、食品股跌0.85%、塑化股跌1.37%、紡織股跌0.8%、機電股跌1.36%、造紙股跌0.44%、營建股跌0.77%、金融股漲0.19%。委買張數912萬7081張，委賣張數609萬1554張，成交張數352萬2045張。收盤時上漲173家，下跌625家，持平74家。成交量前5名個股為台積電、日月光、群創、鴻海、台新金。漲幅前5名個股為銘旺科、智寶、致茂、晶彩科、聯上發。跌幅前5名個股為旺宏、大眾控、中鴻、樂士、F-貿聯。
1420,鴻海新聞,4/30/2016 15:23,郭董 搶到面板發球權？,鴻夏苦戀落幕 下一代面板誰主浮沉仍未揭曉讓外界備受矚目的鴻夏戀落幕後，鴻海董事長郭台銘喊出的OLED（Organic Light-Emitting Diode，縮寫：OLED）及IGZO（氧化銦鎵鋅Indium Gallium Zinc Oxide）兩個技術，成為前陣子被討論的最火熱議題之一，但面板專業分析師認為，這兩個技術並非壁壘分明，而是相互合作的關係。目前面板技術分成兩大陣營，分別是LCD跟OLED，而IGZO屬於LCD（Liquid-Crystal Display液晶顯示器）技術領域，是LCD發展過程中衍生出來的新製程方法；IGZO跟OLED的差異性，主要是針對製程而言，是有可能同時存在的，兩者並不衝突，IGZO技術可提高面板解析度同時又降低成本。IGZO是TFT（薄膜電晶體Thin-Film Transistor）背板技術和a-Si和LTPS低溫多晶矽（Low Temperature Poly-silicon；簡稱LTPS）一樣都是用以驅動面板，都能驅動LCD面板或OLED面板，因此發展IGZO及OLED並不會互相排斥。 台經院副研究員曾俊洲表示，IGZO是一種薄膜電晶體技術，在TFT-LCD主動層之上，打上一層金屬氧化物。IGZO與非晶矽相比，IGZO能夠縮小電晶體尺寸，可提高液晶面板畫素的開口率，較易實現高精細化，解析度高出一倍，電子遷移率快十倍，將簡單的外部電路整合至面板之中，能使移動裝置更輕薄，耗電量也降至三分之二。夏普擁有的IGZO技術，是郭台銘看上的夏普關鍵實力之一，IGZO可提高面板解析度同時又降低成本，且夏普早已具有量產能力。至於OLED面板的特性，則具有自發光性、廣視角、高對比、低耗電、高反應速率、全彩化及製程簡單等優點，色彩亮度、飽和度也好；OLED可分單色、多彩及全彩等種類，而其中以全彩製作技術最為困難，有機發光二極體顯示器依驅動方式的不同又可分為被動式（Passive Matrix，PMOLED）與主動式AMOLED。OLED技術韓國廠商已經發展多年，在中小尺寸部分，三星幾乎稱霸，業內人士坦言，三星目前根本沒有對手。OLED近來備受討論原因，是在於蘋果未來推出的iPhone顯示器可能使用OLED面板，蘋果選擇競爭對手作為顯示器供應商，引起外界想像空間。
1421,鴻海新聞,4/30/2016 15:23,面板大戰略 處處皆聞蘋果味,在鴻海合併夏普的議題發酵下，IGZO技術再次成為焦點，鴻海也評估放大IGZO技術與規模的可能性；若以OLED跟IGZO相關技術來看，但相較於日本及韓國，目前台灣廠商著墨並不深。OLED面板是近期討論話題之一，據傳南韓三星，將爭取成為蘋果未來iPhone獨家OLED面板的供應商。WitsView研究部資深協理邱宇彬指出，蘋果選擇和勁敵三星合作，是因為中小尺寸的OLED面板，就屬三星布局最久。三星從第一代高階的Galaxy系列手機時，就已開始採用自家面板，幾乎已經沒有對手，早已是中小尺寸OLED面板的一方之霸。邱宇彬表示，再加上三星在去年推出 Galaxy S6 edge，採用彎曲、可撓式的主動有機發光二極體（AMOLED）與內嵌觸控面板，可幫助蘋果未來在新款iPhone上更具話題性，逼使蘋果不得低頭，選擇跟敵人三星攜手。至於IGZO技術部分，WitsView研究報告指出，蘋果在2011至2012年間，率先採用IGZO技術於平板電腦面板，市場上便掀起一陣波瀾。
1422,鴻海新聞,5/1/2016 11:33,日媒：夏普擬裁兩千人 總社考慮遷至(土界),日本「朝日新聞」報導，夏普擬針對旗下的太陽能事業、總社的管理部門等裁員2000人，裁員幅度相當於夏普在日本境內員工總數的1成。總社則考慮遷到大阪府(土界)市。夏普確定由鴻海入主，但因中國大陸景氣減速等因素，目前業績呈現惡化。夏普2015年度（截至2016年3月底為止的財年）財報可能出現逾2000億日圓（約新台幣608億元）虧損。雖然夏普2012年與2015年已展開精簡人事措施，辦理約6000人申請退休，但因虧損嚴重，仍有必要再進行裁員，不過夏普內部有人擔憂若持續裁員，可能對集團事業經營產生影響。報導引述多名夏普相關人士的話指出，太陽電池的銷售差，(土界)市工廠（大阪府(土界)市）的生產情況低迷，鴻海要求太陽電池事業要從根本調整，預估將會大幅縮小規模。夏普位於大阪市阿倍野區的土地和建築物於3月已出售，目前是以租借的方式使用，今後考慮遷到生產太陽電池的(土界)廠。此外，管理部門的人員也考慮裁減，以提升總社機能的效率。(土界)廠一旁有鴻海與夏普合營的液晶工廠SDP，據悉鴻海也要求總社遷移至(土界)廠。鴻海與夏普簽約由鴻海入主夏普之際，雙方同意維持夏普現行的僱用，但夏普的業績惡化情況超乎預期，在接受鴻海出資之前，需進行事業合理化。報導說，鴻海重視液晶部門的技術人員，將考慮獎賞機制，讓業績好的技術人員能獲高報酬。日前「日本經濟新聞」也曾報導，夏普因業績惡化程度超乎預期，擬裁1000人。業績不振的太陽能事業員工可能是遭裁對象。
